,DateTime,Device,Class
0,2023-09-02 08:00:00,ID-2,8
1,2023-09-02 10:00:00,FAIR-D2,3
2,2023-09-02 12:00:00,FAIR-D2,3
3,2023-09-02 12:00:00,ID-2,18
4,2023-09-02 14:00:00,FAIR-D2,3
5,2023-09-02 14:00:00,ID-2,26
6,2023-09-02 16:00:00,ID-2,7
7,2023-09-02 18:00:00,ID-2,7
8,2023-09-03 06:00:00,FAIR-D2,1
9,2023-09-03 08:00:00,ID-2,9
10,2023-09-03 12:00:00,ID-2,35
11,2023-09-03 14:00:00,FAIR-D2,2
12,2023-09-03 14:00:00,ID-2,33
13,2023-09-03 16:00:00,FAIR-D2,1
14,2023-09-03 16:00:00,ID-2,3
15,2023-09-03 18:00:00,ID-2,2
16,2023-09-04 08:00:00,ID-2,1
17,2023-09-04 12:00:00,ID-2,8
18,2023-09-04 14:00:00,ID-2,1
19,2023-09-04 16:00:00,FAIR-D2,1
20,2023-09-04 16:00:00,ID-2,3
21,2023-09-04 18:00:00,ID-2,3
22,2023-09-05 08:00:00,FAIR-D2,1
23,2023-09-05 08:00:00,ID-2,9
24,2023-09-05 12:00:00,ID-2,15
25,2023-09-05 14:00:00,FAIR-D2,1
26,2023-09-05 14:00:00,ID-2,2
27,2023-09-05 16:00:00,ID-2,3
28,2023-09-05 18:00:00,ID-2,8
29,2023-09-06 12:00:00,ID-2,1
30,2023-09-06 16:00:00,ID-2,5
31,2023-09-06 18:00:00,ID-2,4
32,2023-09-07 08:00:00,ID-2,3
33,2023-09-07 12:00:00,ID-2,5
34,2023-09-07 14:00:00,ID-2,2
35,2023-09-07 16:00:00,ID-2,1
36,2023-09-07 18:00:00,ID-2,7
37,2023-09-08 08:00:00,ID-2,3
38,2023-09-08 12:00:00,ID-2,1
39,2023-09-08 16:00:00,ID-2,15
40,2023-09-08 18:00:00,ID-2,7
41,2023-09-09 12:00:00,ID-2,2
42,2023-09-09 16:00:00,ID-2,1
43,2023-09-09 18:00:00,ID-2,25
44,2023-09-10 12:00:00,ID-2,1
45,2023-09-10 14:00:00,ID-2,2
46,2023-09-10 16:00:00,FAIR-D2,2
47,2023-09-10 16:00:00,ID-2,2
48,2023-09-10 18:00:00,ID-2,15
49,2023-09-11 08:00:00,FAIR-D2,1
50,2023-09-11 08:00:00,ID-2,1
51,2023-09-11 16:00:00,ID-2,18
52,2023-09-11 18:00:00,ID-2,14
53,2023-09-12 06:00:00,FAIR-D2,1
54,2023-09-12 08:00:00,FAIR-D2,1
55,2023-09-12 08:00:00,ID-2,1
56,2023-09-12 12:00:00,ID-2,2
57,2023-09-12 14:00:00,ID-2,3
58,2023-09-12 18:00:00,ID-2,13
59,2023-09-13 08:00:00,ID-2,20
60,2023-09-13 12:00:00,ID-2,7
61,2023-09-13 14:00:00,ID-2,24
